Borough_Name,Code,Crime_type,Year,Month,No_of_crimes
SUTTON,E09000029,Drug_Related_Crimes,2012,1,48
TOWER HAMLETS,E09000030,Drug_Related_Crimes,2012,1,373
WALTHAM FOREST,E09000031,Drug_Related_Crimes,2012,1,84
WANDSWORTH,E09000032,Drug_Related_Crimes,2012,1,54
WESTMINSTER,E09000033,Drug_Related_Crimes,2012,1,433
BARKING AND DAGENHAM,E09000002,Public_Order_Crimes,2012,1,39
BARNET,E09000003,Public_Order_Crimes,2012,1,30
BEXLEY,E09000004,Public_Order_Crimes,2012,1,25
BRENT,E09000005,Public_Order_Crimes,2012,1,92
BROMLEY,E09000006,Public_Order_Crimes,2012,1,52
CAMDEN,E09000007,Public_Order_Crimes,2012,1,77
CROYDON,E09000008,Public_Order_Crimes,2012,1,56
EALING,E09000009,Public_Order_Crimes,2012,1,72
ENFIELD,E09000010,Public_Order_Crimes,2012,1,28
GREENWICH,E09000011,Public_Order_Crimes,2012,1,43
HACKNEY,E09000012,Public_Order_Crimes,2012,1,51
HAMMERSMITH AND FULHAM,E09000013,Public_Order_Crimes,2012,1,39
HARINGEY,E09000014,Public_Order_Crimes,2012,1,31
HARROW,E09000015,Public_Order_Crimes,2012,1,22
HAVERING,E09000016,Public_Order_Crimes,2012,1,31
HILLINGDON,E09000017,Public_Order_Crimes,2012,1,64
HOUNSLOW,E09000018,Public_Order_Crimes,2012,1,62
ISLINGTON,E09000019,Public_Order_Crimes,2012,1,80
KENSINGTON AND CHELSEA,E09000020,Public_Order_Crimes,2012,1,25
KINGSTON UPON THAMES,E09000021,Public_Order_Crimes,2012,1,16
LAMBETH,E09000022,Public_Order_Crimes,2012,1,81
LEWISHAM,E09000023,Public_Order_Crimes,2012,1,57
MERTON,E09000024,Public_Order_Crimes,2012,1,20
NEWHAM,E09000025,Public_Order_Crimes,2012,1,29
REDBRIDGE,E09000026,Public_Order_Crimes,2012,1,38
RICHMOND UPON THAMES,E09000027,Public_Order_Crimes,2012,1,20
SOUTHWARK,E09000028,Public_Order_Crimes,2012,1,65
SUTTON,E09000029,Public_Order_Crimes,2012,1,16
TOWER HAMLETS,E09000030,Public_Order_Crimes,2012,1,59
WALTHAM FOREST,E09000031,Public_Order_Crimes,2012,1,39
WANDSWORTH,E09000032,Public_Order_Crimes,2012,1,41
WESTMINSTER,E09000033,Public_Order_Crimes,2012,1,126
BARKING AND DAGENHAM,E09000002,Legal_Process_Crimes,2012,1,2
BARNET,E09000003,Legal_Process_Crimes,2012,1,2
BEXLEY,E09000004,Legal_Process_Crimes,2012,1,3
BRENT,E09000005,Legal_Process_Crimes,2012,1,4
BROMLEY,E09000006,Legal_Process_Crimes,2012,1,3
CAMDEN,E09000007,Legal_Process_Crimes,2012,1,0
CROYDON,E09000008,Legal_Process_Crimes,2012,1,8
EALING,E09000009,Legal_Process_Crimes,2012,1,3
ENFIELD,E09000010,Legal_Process_Crimes,2012,1,5
GREENWICH,E09000011,Legal_Process_Crimes,2012,1,2
HACKNEY,E09000012,Legal_Process_Crimes,2012,1,2
HAMMERSMITH AND FULHAM,E09000013,Legal_Process_Crimes,2012,1,0
HARINGEY,E09000014,Legal_Process_Crimes,2012,1,3
HARROW,E09000015,Legal_Process_Crimes,2012,1,3
HAVERING,E09000016,Legal_Process_Crimes,2012,1,3
HILLINGDON,E09000017,Legal_Process_Crimes,2012,1,10
HOUNSLOW,E09000018,Legal_Process_Crimes,2012,1,7
ISLINGTON,E09000019,Legal_Process_Crimes,2012,1,5
KENSINGTON AND CHELSEA,E09000020,Legal_Process_Crimes,2012,1,2
KINGSTON UPON THAMES,E09000021,Legal_Process_Crimes,2012,1,1
LAMBETH,E09000022,Legal_Process_Crimes,2012,1,4
LEWISHAM,E09000023,Legal_Process_Crimes,2012,1,2
MERTON,E09000024,Legal_Process_Crimes,2012,1,2
NEWHAM,E09000025,Legal_Process_Crimes,2012,1,5
REDBRIDGE,E09000026,Legal_Process_Crimes,2012,1,2
RICHMOND UPON THAMES,E09000027,Legal_Process_Crimes,2012,1,2
SOUTHWARK,E09000028,Legal_Process_Crimes,2012,1,5
SUTTON,E09000029,Legal_Process_Crimes,2012,1,0
TOWER HAMLETS,E09000030,Legal_Process_Crimes,2012,1,5
WALTHAM FOREST,E09000031,Legal_Process_Crimes,2012,1,0
WANDSWORTH,E09000032,Legal_Process_Crimes,2012,1,2
WESTMINSTER,E09000033,Legal_Process_Crimes,2012,1,1
BARKING AND DAGENHAM,E09000002,Weapon_Related_Crimes,2012,1,2
BARNET,E09000003,Weapon_Related_Crimes,2012,1,2
BEXLEY,E09000004,Weapon_Related_Crimes,2012,1,1
BRENT,E09000005,Weapon_Related_Crimes,2012,1,2
BROMLEY,E09000006,Weapon_Related_Crimes,2012,1,0
CAMDEN,E09000007,Weapon_Related_Crimes,2012,1,3
CROYDON,E09000008,Weapon_Related_Crimes,2012,1,1
EALING,E09000009,Weapon_Related_Crimes,2012,1,1
ENFIELD,E09000010,Weapon_Related_Crimes,2012,1,2
GREENWICH,E09000011,Weapon_Related_Crimes,2012,1,8
HACKNEY,E09000012,Weapon_Related_Crimes,2012,1,1
HAMMERSMITH AND FULHAM,E09000013,Weapon_Related_Crimes,2012,1,3
HARINGEY,E09000014,Weapon_Related_Crimes,2012,1,3
HARROW,E09000015,Weapon_Related_Crimes,2012,1,1
HAVERING,E09000016,Weapon_Related_Crimes,2012,1,2
HILLINGDON,E09000017,Weapon_Related_Crimes,2012,1,7
HOUNSLOW,E09000018,Weapon_Related_Crimes,2012,1,0
ISLINGTON,E09000019,Weapon_Related_Crimes,2012,1,1
KENSINGTON AND CHELSEA,E09000020,Weapon_Related_Crimes,2012,1,1
KINGSTON UPON THAMES,E09000021,Weapon_Related_Crimes,2012,1,0
LAMBETH,E09000022,Weapon_Related_Crimes,2012,1,3
LEWISHAM,E09000023,Weapon_Related_Crimes,2012,1,1
MERTON,E09000024,Weapon_Related_Crimes,2012,1,0
NEWHAM,E09000025,Weapon_Related_Crimes,2012,1,1
REDBRIDGE,E09000026,Weapon_Related_Crimes,2012,1,0
RICHMOND UPON THAMES,E09000027,Weapon_Related_Crimes,2012,1,1
SOUTHWARK,E09000028,Weapon_Related_Crimes,2012,1,9
SUTTON,E09000029,Weapon_Related_Crimes,2012,1,0
TOWER HAMLETS,E09000030,Weapon_Related_Crimes,2012,1,1
WALTHAM FOREST,E09000031,Weapon_Related_Crimes,2012,1,7
WANDSWORTH,E09000032,Weapon_Related_Crimes,2012,1,3
WESTMINSTER,E09000033,Weapon_Related_Crimes,2012,1,2
BARKING AND DAGENHAM,E09000002,Miscellaneous_Crimes,2012,1,153
BARNET,E09000003,Miscellaneous_Crimes,2012,1,183
BEXLEY,E09000004,Miscellaneous_Crimes,2012,1,128
BRENT,E09000005,Miscellaneous_Crimes,2012,1,193
BROMLEY,E09000006,Miscellaneous_Crimes,2012,1,225
CAMDEN,E09000007,Miscellaneous_Crimes,2012,1,169
CROYDON,E09000008,Miscellaneous_Crimes,2012,1,366
EALING,E09000009,Miscellaneous_Crimes,2012,1,213
ENFIELD,E09000010,Miscellaneous_Crimes,2012,1,164
GREENWICH,E09000011,Miscellaneous_Crimes,2012,1,198
HACKNEY,E09000012,Miscellaneous_Crimes,2012,1,159
HAMMERSMITH AND FULHAM,E09000013,Miscellaneous_Crimes,2012,1,161
HARINGEY,E09000014,Miscellaneous_Crimes,2012,1,212
HARROW,E09000015,Miscellaneous_Crimes,2012,1,112
HAVERING,E09000016,Miscellaneous_Crimes,2012,1,160
HILLINGDON,E09000017,Miscellaneous_Crimes,2012,1,208
HOUNSLOW,E09000018,Miscellaneous_Crimes,2012,1,259
ISLINGTON,E09000019,Miscellaneous_Crimes,2012,1,173
KENSINGTON AND CHELSEA,E09000020,Miscellaneous_Crimes,2012,1,92
KINGSTON UPON THAMES,E09000021,Miscellaneous_Crimes,2012,1,106
LAMBETH,E09000022,Miscellaneous_Crimes,2012,1,273
LEWISHAM,E09000023,Miscellaneous_Crimes,2012,1,228
MERTON,E09000024,Miscellaneous_Crimes,2012,1,156
NEWHAM,E09000025,Miscellaneous_Crimes,2012,1,184
REDBRIDGE,E09000026,Miscellaneous_Crimes,2012,1,171
RICHMOND UPON THAMES,E09000027,Miscellaneous_Crimes,2012,1,118
SOUTHWARK,E09000028,Miscellaneous_Crimes,2012,1,222
SUTTON,E09000029,Miscellaneous_Crimes,2012,1,112
TOWER HAMLETS,E09000030,Miscellaneous_Crimes,2012,1,180
WALTHAM FOREST,E09000031,Miscellaneous_Crimes,2012,1,184
WANDSWORTH,E09000032,Miscellaneous_Crimes,2012,1,202
WESTMINSTER,E09000033,Miscellaneous_Crimes,2012,1,186
BARKING AND DAGENHAM,E09000002,Property_Crimes,2012,2,731
BARNET,E09000003,Property_Crimes,2012,2,1263
BEXLEY,E09000004,Property_Crimes,2012,2,479
BRENT,E09000005,Property_Crimes,2012,2,1046
BROMLEY,E09000006,Property_Crimes,2012,2,936
CAMDEN,E09000007,Property_Crimes,2012,2,1577
CROYDON,E09000008,Property_Crimes,2012,2,1189
EALING,E09000009,Property_Crimes,2012,2,1175
ENFIELD,E09000010,Property_Crimes,2012,2,972
GREENWICH,E09000011,Property_Crimes,2012,2,772
HACKNEY,E09000012,Property_Crimes,2012,2,1116
HAMMERSMITH AND FULHAM,E09000013,Property_Crimes,2012,2,1027
HARINGEY,E09000014,Property_Crimes,2012,2,1058
HARROW,E09000015,Property_Crimes,2012,2,589
HAVERING,E09000016,Property_Crimes,2012,2,853
HILLINGDON,E09000017,Property_Crimes,2012,2,1005
HOUNSLOW,E09000018,Property_Crimes,2012,2,894
ISLINGTON,E09000019,Property_Crimes,2012,2,1113
KENSINGTON AND CHELSEA,E09000020,Property_Crimes,2012,2,1026
KINGSTON UPON THAMES,E09000021,Property_Crimes,2012,2,478
LAMBETH,E09000022,Property_Crimes,2012,2,1227
LEWISHAM,E09000023,Property_Crimes,2012,2,937
MERTON,E09000024,Property_Crimes,2012,2,629
NEWHAM,E09000025,Property_Crimes,2012,2,1240
REDBRIDGE,E09000026,Property_Crimes,2012,2,922
RICHMOND UPON THAMES,E09000027,Property_Crimes,2012,2,483
SOUTHWARK,E09000028,Property_Crimes,2012,2,1271
SUTTON,E09000029,Property_Crimes,2012,2,500
TOWER HAMLETS,E09000030,Property_Crimes,2012,2,1009
WALTHAM FOREST,E09000031,Property_Crimes,2012,2,902
WANDSWORTH,E09000032,Property_Crimes,2012,2,1229
WESTMINSTER,E09000033,Property_Crimes,2012,2,3081
BARKING AND DAGENHAM,E09000002,Violent_Crimes,2012,2,355
BARNET,E09000003,Violent_Crimes,2012,2,359
BEXLEY,E09000004,Violent_Crimes,2012,2,202
BRENT,E09000005,Violent_Crimes,2012,2,584
BROMLEY,E09000006,Violent_Crimes,2012,2,351
CAMDEN,E09000007,Violent_Crimes,2012,2,413
CROYDON,E09000008,Violent_Crimes,2012,2,594
EALING,E09000009,Violent_Crimes,2012,2,525
ENFIELD,E09000010,Violent_Crimes,2012,2,376
GREENWICH,E09000011,Violent_Crimes,2012,2,400
HACKNEY,E09000012,Violent_Crimes,2012,2,397
HAMMERSMITH AND FULHAM,E09000013,Violent_Crimes,2012,2,320
HARINGEY,E09000014,Violent_Crimes,2012,2,410
HARROW,E09000015,Violent_Crimes,2012,2,256
HAVERING,E09000016,Violent_Crimes,2012,2,269
HILLINGDON,E09000017,Violent_Crimes,2012,2,410
HOUNSLOW,E09000018,Violent_Crimes,2012,2,426
ISLINGTON,E09000019,Violent_Crimes,2012,2,339
KENSINGTON AND CHELSEA,E09000020,Violent_Crimes,2012,2,214
KINGSTON UPON THAMES,E09000021,Violent_Crimes,2012,2,180
LAMBETH,E09000022,Violent_Crimes,2012,2,618
LEWISHAM,E09000023,Violent_Crimes,2012,2,467
MERTON,E09000024,Violent_Crimes,2012,2,222
NEWHAM,E09000025,Violent_Crimes,2012,2,602
REDBRIDGE,E09000026,Violent_Crimes,2012,2,329
RICHMOND UPON THAMES,E09000027,Violent_Crimes,2012,2,163
SOUTHWARK,E09000028,Violent_Crimes,2012,2,666
SUTTON,E09000029,Violent_Crimes,2012,2,200
TOWER HAMLETS,E09000030,Violent_Crimes,2012,2,491
WALTHAM FOREST,E09000031,Violent_Crimes,2012,2,430
WANDSWORTH,E09000032,Violent_Crimes,2012,2,315
WESTMINSTER,E09000033,Violent_Crimes,2012,2,627
BARKING AND DAGENHAM,E09000002,Drug_Related_Crimes,2012,2,61
BARNET,E09000003,Drug_Related_Crimes,2012,2,67
BEXLEY,E09000004,Drug_Related_Crimes,2012,2,56
BRENT,E09000005,Drug_Related_Crimes,2012,2,266
BROMLEY,E09000006,Drug_Related_Crimes,2012,2,72
CAMDEN,E09000007,Drug_Related_Crimes,2012,2,154
CROYDON,E09000008,Drug_Related_Crimes,2012,2,183
EALING,E09000009,Drug_Related_Crimes,2012,2,156
ENFIELD,E09000010,Drug_Related_Crimes,2012,2,86
GREENWICH,E09000011,Drug_Related_Crimes,2012,2,111
HACKNEY,E09000012,Drug_Related_Crimes,2012,2,221
HAMMERSMITH AND FULHAM,E09000013,Drug_Related_Crimes,2012,2,90
HARINGEY,E09000014,Drug_Related_Crimes,2012,2,156
HARROW,E09000015,Drug_Related_Crimes,2012,2,58
HAVERING,E09000016,Drug_Related_Crimes,2012,2,64
HILLINGDON,E09000017,Drug_Related_Crimes,2012,2,118
HOUNSLOW,E09000018,Drug_Related_Crimes,2012,2,188
ISLINGTON,E09000019,Drug_Related_Crimes,2012,2,153
KENSINGTON AND CHELSEA,E09000020,Drug_Related_Crimes,2012,2,80
KINGSTON UPON THAMES,E09000021,Drug_Related_Crimes,2012,2,36
LAMBETH,E09000022,Drug_Related_Crimes,2012,2,201
LEWISHAM,E09000023,Drug_Related_Crimes,2012,2,116
MERTON,E09000024,Drug_Related_Crimes,2012,2,76
NEWHAM,E09000025,Drug_Related_Crimes,2012,2,143
REDBRIDGE,E09000026,Drug_Related_Crimes,2012,2,181
RICHMOND UPON THAMES,E09000027,Drug_Related_Crimes,2012,2,51
SOUTHWARK,E09000028,Drug_Related_Crimes,2012,2,251
SUTTON,E09000029,Drug_Related_Crimes,2012,2,53
TOWER HAMLETS,E09000030,Drug_Related_Crimes,2012,2,296
WALTHAM FOREST,E09000031,Drug_Related_Crimes,2012,2,93
WANDSWORTH,E09000032,Drug_Related_Crimes,2012,2,99
WESTMINSTER,E09000033,Drug_Related_Crimes,2012,2,396
BARKING AND DAGENHAM,E09000002,Public_Order_Crimes,2012,2,37
BARNET,E09000003,Public_Order_Crimes,2012,2,24
BEXLEY,E09000004,Public_Order_Crimes,2012,2,18
BRENT,E09000005,Public_Order_Crimes,2012,2,65
BROMLEY,E09000006,Public_Order_Crimes,2012,2,41
CAMDEN,E09000007,Public_Order_Crimes,2012,2,77
CROYDON,E09000008,Public_Order_Crimes,2012,2,55
EALING,E09000009,Public_Order_Crimes,2012,2,84
ENFIELD,E09000010,Public_Order_Crimes,2012,2,30
GREENWICH,E09000011,Public_Order_Crimes,2012,2,44
HACKNEY,E09000012,Public_Order_Crimes,2012,2,47
HAMMERSMITH AND FULHAM,E09000013,Public_Order_Crimes,2012,2,67
HARINGEY,E09000014,Public_Order_Crimes,2012,2,35
HARROW,E09000015,Public_Order_Crimes,2012,2,23
HAVERING,E09000016,Public_Order_Crimes,2012,2,36
HILLINGDON,E09000017,Public_Order_Crimes,2012,2,61
HOUNSLOW,E09000018,Public_Order_Crimes,2012,2,51
ISLINGTON,E09000019,Public_Order_Crimes,2012,2,78
KENSINGTON AND CHELSEA,E09000020,Public_Order_Crimes,2012,2,26
KINGSTON UPON THAMES,E09000021,Public_Order_Crimes,2012,2,20
LAMBETH,E09000022,Public_Order_Crimes,2012,2,85
LEWISHAM,E09000023,Public_Order_Crimes,2012,2,63
MERTON,E09000024,Public_Order_Crimes,2012,2,18
NEWHAM,E09000025,Public_Order_Crimes,2012,2,52
REDBRIDGE,E09000026,Public_Order_Crimes,2012,2,29
RICHMOND UPON THAMES,E09000027,Public_Order_Crimes,2012,2,18
SOUTHWARK,E09000028,Public_Order_Crimes,2012,2,76
SUTTON,E09000029,Public_Order_Crimes,2012,2,14
TOWER HAMLETS,E09000030,Public_Order_Crimes,2012,2,69
WALTHAM FOREST,E09000031,Public_Order_Crimes,2012,2,30
WANDSWORTH,E09000032,Public_Order_Crimes,2012,2,44
WESTMINSTER,E09000033,Public_Order_Crimes,2012,2,85
BARKING AND DAGENHAM,E09000002,Legal_Process_Crimes,2012,2,1
BARNET,E09000003,Legal_Process_Crimes,2012,2,1
BEXLEY,E09000004,Legal_Process_Crimes,2012,2,0
BRENT,E09000005,Legal_Process_Crimes,2012,2,5
BROMLEY,E09000006,Legal_Process_Crimes,2012,2,3
CAMDEN,E09000007,Legal_Process_Crimes,2012,2,2
CROYDON,E09000008,Legal_Process_Crimes,2012,2,4
EALING,E09000009,Legal_Process_Crimes,2012,2,8
ENFIELD,E09000010,Legal_Process_Crimes,2012,2,3
GREENWICH,E09000011,Legal_Process_Crimes,2012,2,8
HACKNEY,E09000012,Legal_Process_Crimes,2012,2,1
HAMMERSMITH AND FULHAM,E09000013,Legal_Process_Crimes,2012,2,0
HARINGEY,E09000014,Legal_Process_Crimes,2012,2,1
HARROW,E09000015,Legal_Process_Crimes,2012,2,7
HAVERING,E09000016,Legal_Process_Crimes,2012,2,0
HILLINGDON,E09000017,Legal_Process_Crimes,2012,2,8
HOUNSLOW,E09000018,Legal_Process_Crimes,2012,2,7
ISLINGTON,E09000019,Legal_Process_Crimes,2012,2,2
KENSINGTON AND CHELSEA,E09000020,Legal_Process_Crimes,2012,2,0
KINGSTON UPON THAMES,E09000021,Legal_Process_Crimes,2012,2,1
LAMBETH,E09000022,Legal_Process_Crimes,2012,2,4
LEWISHAM,E09000023,Legal_Process_Crimes,2012,2,6
MERTON,E09000024,Legal_Process_Crimes,2012,2,0
NEWHAM,E09000025,Legal_Process_Crimes,2012,2,2
REDBRIDGE,E09000026,Legal_Process_Crimes,2012,2,4
RICHMOND UPON THAMES,E09000027,Legal_Process_Crimes,2012,2,1
SOUTHWARK,E09000028,Legal_Process_Crimes,2012,2,5
SUTTON,E09000029,Legal_Process_Crimes,2012,2,1
TOWER HAMLETS,E09000030,Legal_Process_Crimes,2012,2,5
WALTHAM FOREST,E09000031,Legal_Process_Crimes,2012,2,2
WANDSWORTH,E09000032,Legal_Process_Crimes,2012,2,3
WESTMINSTER,E09000033,Legal_Process_Crimes,2012,2,5
BARKING AND DAGENHAM,E09000002,Weapon_Related_Crimes,2012,2,0
BARNET,E09000003,Weapon_Related_Crimes,2012,2,5
BEXLEY,E09000004,Weapon_Related_Crimes,2012,2,2
BRENT,E09000005,Weapon_Related_Crimes,2012,2,2
BROMLEY,E09000006,Weapon_Related_Crimes,2012,2,1
CAMDEN,E09000007,Weapon_Related_Crimes,2012,2,4
CROYDON,E09000008,Weapon_Related_Crimes,2012,2,5
EALING,E09000009,Weapon_Related_Crimes,2012,2,4
ENFIELD,E09000010,Weapon_Related_Crimes,2012,2,3
GREENWICH,E09000011,Weapon_Related_Crimes,2012,2,2
HACKNEY,E09000012,Weapon_Related_Crimes,2012,2,5
HAMMERSMITH AND FULHAM,E09000013,Weapon_Related_Crimes,2012,2,1
HARINGEY,E09000014,Weapon_Related_Crimes,2012,2,4
HARROW,E09000015,Weapon_Related_Crimes,2012,2,0
HAVERING,E09000016,Weapon_Related_Crimes,2012,2,4
HILLINGDON,E09000017,Weapon_Related_Crimes,2012,2,3
HOUNSLOW,E09000018,Weapon_Related_Crimes,2012,2,1
ISLINGTON,E09000019,Weapon_Related_Crimes,2012,2,0
KENSINGTON AND CHELSEA,E09000020,Weapon_Related_Crimes,2012,2,1
KINGSTON UPON THAMES,E09000021,Weapon_Related_Crimes,2012,2,0
LAMBETH,E09000022,Weapon_Related_Crimes,2012,2,5
LEWISHAM,E09000023,Weapon_Related_Crimes,2012,2,1
MERTON,E09000024,Weapon_Related_Crimes,2012,2,2
NEWHAM,E09000025,Weapon_Related_Crimes,2012,2,4
REDBRIDGE,E09000026,Weapon_Related_Crimes,2012,2,2
RICHMOND UPON THAMES,E09000027,Weapon_Related_Crimes,2012,2,0
SOUTHWARK,E09000028,Weapon_Related_Crimes,2012,2,4
